LEAD_ID,CASE_OPENED_DATE,CASE_CLOSED_SUCCESSFUL_DATE,SALES_FUNNEL_STEPS
219cf2efac8b4ba,2024-04-13,2024-04-13,PV System Sold
cb5b8c953d0ba76,2024-06-24,,Sales Call 1
6b77b2e24693c0c,2024-03-07,2024-03-08,Sales Call 1
e147cb85e1ec785,2024-05-14,2024-05-14,Sales Call 1
84245f40979ac33,2024-05-26,2024-05-27,Sales Call 1
4203721dc28eb07,2024-05-07,2024-05-07,Sales Call 1
f6df182d072082e,2024-03-07,2024-03-09,Sales Call 1
59310c694710063,2024-05-29,,Sales Call 1
6c16a67ba69dd9b,2024-05-18,2024-05-19,PV System Sold
1e1e2fcae02bcc7,2024-06-05,2024-06-07,Sales Call 1
d8824f6da36207d,2024-03-11,2024-03-12,Sales Call 1
d8030f4aa6b46de,2024-06-27,2024-06-28,Sales Call 1
c17feb727c8cc09,2024-06-06,2024-06-08,Sales Call 1
fa9ece4779dfa5b,2024-03-19,2024-03-23,Sales Call 1
5594baadd1ce6af,2024-04-02,,Sales Call 1
1cc43ffb7250df5,2024-03-18,,Sales Call 1
2a113a1dd1afd88,2024-05-08,2024-05-10,Sales Call 1
ef1238150df483f,2024-05-30,,Sales Call 1
224f5aa4f3e1604,2024-03-23,2024-03-26,Sales Call 1
08a8fd0d16e8d23,2024-07-03,2024-07-05,Sales Call 1
33ad396f37343a4,2024-05-20,2024-05-20,Sales Call 1
9e1a6e3b70f67b2,2024-03-02,2024-03-03,Sales Call 1
a3bb0214b604aa4,2024-04-10,2024-04-12,Sales Call 1
0ec72968ff0acc6,2024-04-24,2024-04-26,Sales Call 1
1e5cd603b4f0d92,2024-05-22,,Sales Call 1
189e3cc05fd9e3a,2024-02-21,2024-02-24,Sales Call 1
c290610036f7a13,2024-07-27,2024-07-27,PV System Sold
21c7aae350dd5dd,2024-07-20,2024-07-21,Sales Call 1
01ccf35135644a8,2024-02-28,2024-03-01,Sales Call 1
b5e1a8381ecc5d5,2024-06-07,2024-06-07,PV System Sold
7452449824771d1,2024-03-19,2024-03-22,Sales Call 1
23a3fce110562f5,2024-03-18,2024-03-20,Sales Call 1
b2f5aabde0a9e85,2024-04-24,,Sales Call 1
f56282695cd575b,2024-03-29,2024-03-30,PV System Sold
88905659548a00a,2024-03-28,2024-03-29,Sales Call 1
ae646d51c4ab636,2024-03-22,2024-03-25,Sales Call 1
bc25930b5e27fe4,2024-05-14,2024-05-15,PV System Sold
2d6cb79a9747bc0,2024-06-26,2024-06-29,Sales Call 1
1ca06926da02635,2024-04-01,,Sales Call 1
fc6337a1c93ff84,2024-05-14,2024-05-14,Sales Call 1
fec401bc06dad26,2024-05-15,,Sales Call 1
f5c1054f90e3475,2024-03-31,2024-04-02,Sales Call 1
d45d5d3b5d1628e,2024-03-04,2024-03-05,Sales Call 1
019fa55b1b42e24,2024-05-30,,Sales Call 1
8d9ac40ce8f2ee2,2024-05-21,2024-05-21,Sales Call 1
d54f1ced06d2371,2024-06-23,2024-06-23,Sales Call 1
d7941556e2796c9,2024-05-07,2024-05-07,Sales Call 1
c50980705410f9a,2024-05-02,2024-05-03,Sales Call 1
4881156e9714f7c,2024-04-28,2024-04-28,Sales Call 1
bdce25f9eef2baf,2024-05-05,2024-05-05,Sales Call 1
55b847eb8024ac1,2024-07-16,2024-07-16,Sales Call 2
a21dfe554c4b7f4,2024-05-21,2024-05-21,Sales Call 1
b0789c7a7edcd1f,2024-03-23,2024-03-26,Sales Call 1
73b740005d4bd45,2024-06-05,2024-06-07,Sales Call 1
88f9c1dbcaafa97,2024-06-30,,Sales Call 1
ed10775b0609814,2024-03-19,2024-03-22,Sales Call 1
612365a20e868a8,2024-03-11,,Sales Call 1
fc59f75ae8615c3,2024-06-27,2024-06-28,Sales Call 1
64884e834152e0f,2024-04-19,2024-04-20,Sales Call 1
88d17c04ee13fec,2024-06-04,2024-06-04,Sales Call 1
1b0e5accb995b7e,2024-04-27,2024-04-27,Sales Call 2
1950df36bb20d22,2024-06-28,2024-06-29,Sales Call 1
9f6555c7dcba6aa,2024-06-01,2024-06-01,Sales Call 1
cc563426ee8b274,2024-05-20,2024-05-20,Sales Call 1
84213fec6103881,2024-03-15,2024-03-17,Sales Call 1
29bdade6ffe3d8f,2024-03-05,2024-03-05,Sales Call 2
f0d808896bf13c5,2024-06-13,2024-06-14,Sales Call 1
0ed13b37e1b6397,2024-03-31,2024-04-02,Sales Call 1
c2c345edb0d0005,2024-06-25,2024-06-25,Sales Call 2
9108df0ef372a02,2024-03-15,2024-03-17,Sales Call 1
9675e2c38b16eb1,2024-05-31,2024-06-01,Sales Call 1
206975bc9b7bdb0,2024-04-16,2024-04-16,Sales Call 1
4eb31444dab3cb2,2024-06-03,2024-06-03,Sales Call 1
ab70dcc74360237,2024-05-12,2024-05-12,Sales Call 2
f801b831f36eae4,2024-05-02,2024-05-03,Sales Call 1
23ae9e2454d2590,2024-04-14,,Sales Call 1
ba0a93945dada45,2024-04-18,,Sales Call 1
7e793988efe20c1,2024-07-28,2024-07-28,Sales Call 2
5abd9cfaa246513,2024-03-30,2024-03-30,Sales Call 2
7ef2b8c366636c5,2024-05-31,2024-06-01,Sales Call 1
c9558b3635ebb76,2024-07-01,2024-07-01,Sales Call 2
125e86336007556,2024-04-11,,Sales Call 1
b392dbff13a3188,2024-06-12,2024-06-12,Sales Call 2
73b88a7a75cd456,2024-05-23,,Sales Call 1
6060c3c9f4a2f28,2024-04-22,2024-04-22,PV System Sold
539e65a4a43450e,2024-06-24,,Sales Call 1
b7a399e4a5c74b1,2024-05-24,,Sales Call 1
8d99a1eb0891e42,2024-04-04,2024-04-05,Sales Call 1
8a963fec77b299f,2024-04-06,2024-04-08,Sales Call 1
4b8db0a3dcb4384,2024-06-23,2024-06-23,Sales Call 1
071962b1669ecd3,2024-06-09,2024-06-09,Sales Call 1
7773536277e53f6,2024-06-27,2024-06-28,Sales Call 1
367a52fcd1c5b6d,2024-06-29,,Sales Call 1
15d4509bc6977f4,2024-05-28,2024-05-28,Sales Call 1
12d0b30fd872555,2024-06-17,,Sales Call 1
33a555937de7083,2024-04-07,2024-04-07,Sales Call 2
bf800b310ece44f,2024-07-02,2024-07-03,Sales Call 1
e08dba04bd698c2,2024-06-28,2024-06-29,Sales Call 1
6b12b4792cb860c,2024-05-13,2024-05-13,Sales Call 1
97831005a4ade9c,2024-07-11,2024-07-12,Sales Call 1
905ae9a7f44fc08,2024-05-08,2024-05-10,PV System Sold
9880735a0c8eff0,2024-03-30,2024-04-01,Sales Call 1
67711baffb96c85,2024-07-17,2024-07-19,Sales Call 1
9a9d2ab6a4c24b3,2024-03-09,2024-03-09,Sales Call 1
dad555de2c1da17,2024-06-25,,Sales Call 1
d40de1701ab0ce9,2024-06-03,2024-06-03,Sales Call 1
7f8fcd94b4aba78,2024-03-21,,Sales Call 1
b5dba07f069f6b2,2024-06-12,2024-06-12,PV System Sold
bbadad15a3ad4a2,2024-07-14,2024-07-15,Sales Call 1
1a85c2606edc2b9,2024-05-08,,Sales Call 1
56949001d224c46,2024-06-24,2024-06-24,Sales Call 1
adc8017a23b9ee6,2024-06-20,2024-06-21,Sales Call 1
330441ba694bc82,2024-05-05,2024-05-05,Sales Call 1
c2b01786c59f1c6,2024-05-14,2024-05-14,Sales Call 1
7f63d2dcfc2057a,2024-02-25,2024-02-27,Sales Call 1
bb7afc31573ee3d,2024-02-21,,Sales Call 1
3e6cef27fb92677,2024-05-21,2024-05-21,Sales Call 1
6368573f7fceb5c,2024-05-17,2024-05-18,Sales Call 1
b041d231b04eecd,2024-04-15,2024-04-15,Sales Call 1
de0eecbc8d910a1,2024-07-10,2024-07-10,Sales Call 1
994e3e16584c546,2024-05-03,2024-05-03,Sales Call 2
b98817051f5751b,2024-06-18,2024-06-18,Sales Call 1
89f679aa97b5cf0,2024-06-04,2024-06-04,Sales Call 1
0c6ebe0cb795c65,2024-02-26,2024-02-28,Sales Call 1
424fd4164e055ab,2024-05-16,2024-05-18,Sales Call 1
ebd42e89cae5c34,2024-05-24,2024-05-24,Sales Call 2
d089c0e28359e73,2024-07-11,,Sales Call 1
29a59ac2eb3db8d,2024-07-04,2024-07-05,Sales Call 1
3d339bff6c4f7ac,2024-06-23,2024-06-23,Sales Call 1
1f46eed58d9f124,2024-05-25,2024-05-25,Sales Call 2
409d98e509e160b,2024-06-02,2024-06-02,Sales Call 1
123577d5fb6d1b5,2024-03-07,2024-03-08,Sales Call 1
1a7d24055a6fc06,2024-07-12,2024-07-12,Sales Call 1
09d738dee1fd462,2024-04-18,,Sales Call 1
dccdf2b3c97f6d2,2024-04-27,,Sales Call 1
de32d01ac11e46e,2024-06-18,2024-06-18,Sales Call 1
50574140af77098,2024-06-29,2024-06-29,Sales Call 1
139dbe47862910b,2024-06-29,2024-06-30,Sales Call 1
46713b066d6b534,2024-04-05,2024-04-06,PV System Sold
7bf4dc135463c82,2024-05-27,2024-05-27,Sales Call 1
5916a04882d1d91,2024-07-09,2024-07-09,Sales Call 1
ecb870d8d5a2707,2024-06-21,2024-06-22,Sales Call 1
90f8ca015e3512b,2024-06-19,2024-06-21,Sales Call 1
2c54983c8a3e250,2024-05-15,2024-05-17,Sales Call 1
941cde8a376cf04,2024-06-15,2024-06-15,Sales Call 2
a840a23666d1a09,2024-05-28,2024-05-28,Sales Call 1
3b2f73386b40939,2024-02-28,2024-03-01,Sales Call 1
9f34c0df086c69c,2024-07-05,,Sales Call 1
21dd8194090dd09,2024-04-30,2024-04-30,Sales Call 1
2198a3f3a0a7fb8,2024-03-24,2024-03-25,Sales Call 1
8d11115e372f82b,2024-03-06,2024-03-08,Sales Call 1
2b026fed5b6d5dd,2024-05-27,2024-05-28,Sales Call 1
002ac606b602325,2024-05-25,2024-05-25,Sales Call 2
bf0623736102a47,2024-04-02,2024-04-05,Sales Call 1
444a385b4709f8a,2024-04-23,2024-04-24,Sales Call 1
015321798411a6f,2024-03-13,2024-03-16,Sales Call 1
8904ebb34615cb0,2024-06-05,2024-06-05,Sales Call 2
c1c336d69f2b513,2024-05-12,2024-05-13,Sales Call 1
417bf496abad2d3,2024-07-19,2024-07-19,Sales Call 2
3d346e684de01a7,2024-02-22,2024-02-25,Sales Call 1
1ece786b3ee1ed4,2024-04-11,2024-04-12,Sales Call 1
dab85cb28bfdb34,2024-05-07,2024-05-07,Sales Call 2
e48b54c8fc7c278,2024-03-29,2024-04-01,Sales Call 1
54e6fb5369946b9,2024-04-01,2024-04-03,Sales Call 1
e9488987f728075,2024-05-14,2024-05-14,Sales Call 1
ead306a58fcdf37,2024-03-29,,Sales Call 1
65b855d869d76fb,2024-07-13,2024-07-14,Sales Call 1
18e859f8c6e2d14,2024-04-26,2024-04-27,Sales Call 1
31ed73c3e01d615,2024-06-04,,Sales Call 1
f1203179217d5e8,2024-07-12,2024-07-14,Sales Call 1
07da5ef5cfb6544,2024-05-11,2024-05-12,Sales Call 1
6ce65a778a5c708,2024-07-26,2024-07-26,PV System Sold
086f56ee5c72799,2024-05-08,2024-05-10,Sales Call 1
22aa8f681b5f165,2024-06-16,2024-06-16,Sales Call 1
91bd62f4382b0d0,2024-07-17,2024-07-19,Sales Call 1
914b135f3413223,2024-03-18,2024-03-20,Sales Call 1
0e943d7e2a30e86,2024-05-22,2024-05-24,Sales Call 1
0632a1d75cb149e,2024-02-24,2024-02-26,Sales Call 1
af1b13e9f69dac8,2024-06-18,2024-06-19,Sales Call 1
29778169b4dfe4e,2024-06-19,2024-06-21,Sales Call 1
9c031df4b3cefbb,2024-06-04,2024-06-21,PV System Sold
dd4fbaa5449688f,2024-04-12,2024-04-12,PV System Sold
2c526196698dfc6,2024-05-13,2024-05-13,Sales Call 1
7a8c8d66b3fea80,2024-05-17,2024-05-17,Sales Call 2
21d584503a6158e,2024-04-07,2024-04-07,PV System Sold
2963e7deac0a7a9,2024-05-12,,Sales Call 1
82db9b682bad4b7,2024-07-05,2024-07-06,Sales Call 1
e0923844b5bf7c2,2024-04-12,2024-04-13,PV System Sold
bc8c637f9acac21,2024-03-15,2024-03-16,Sales Call 1
9effc61bbc7044d,2024-06-20,2024-06-21,Sales Call 1
537c674bdcccd2c,2024-03-26,2024-03-30,Sales Call 1
6068663bb658181,2024-03-08,2024-03-10,Sales Call 1
5fb56f49b321d44,2024-07-14,2024-07-14,Sales Call 1
f810ccedaab0c25,2024-05-18,2024-05-19,Sales Call 1
448766079d36e53,2024-07-08,2024-07-08,Sales Call 2
8874688079d9edf,2024-07-26,2024-07-26,PV System Sold
f7d429b7c553ce9,2024-07-12,,Sales Call 1
9f552f68d784240,2024-06-01,2024-06-02,Sales Call 1
2aeffcd10829a5d,2024-02-20,,Sales Call 1
5c3f51b2c02c6c0,2024-03-29,2024-04-01,Sales Call 1
c615222816414c4,2024-04-03,2024-04-06,Sales Call 1
7cbc5f743a52d6a,2024-05-09,2024-05-10,Sales Call 1
433bfd179d27542,2024-04-02,2024-04-05,Sales Call 1
482156f08d7588f,2024-07-08,2024-07-08,Sales Call 1
aada5fb96c501dc,2024-03-28,,Sales Call 1
c5d993b61239e08,2024-05-29,2024-05-31,Sales Call 1
518f89dfc36097e,2024-05-01,2024-05-03,Sales Call 1
4a11197276c42cd,2024-03-15,2024-03-18,Sales Call 1
fe75dba4277eba0,2024-04-05,2024-04-07,Sales Call 1
26aba0e6e5624d7,2024-06-13,2024-06-14,Sales Call 1
e100c2d238686a0,2024-03-31,2024-04-02,Sales Call 1
0fce223737724ce,2024-07-05,2024-07-06,Sales Call 1
efd7b5911497657,2024-06-29,2024-06-30,Sales Call 1
00d37ffe0b4a6e8,2024-06-26,,Sales Call 1
9aec6184d21d7ba,2024-06-06,2024-06-07,Sales Call 1
5262a4a52cc96d6,2024-04-22,2024-04-22,Sales Call 2
a09e5912815cd97,2024-06-28,,Sales Call 1
2efe1cbe1952097,2024-04-09,,Sales Call 2
9f9a96aef42480a,2024-05-24,2024-05-25,Sales Call 1
0785c420a6ef38c,2024-05-19,2024-05-20,Sales Call 1
fc500a227a7f776,2024-04-25,2024-04-27,Sales Call 1
9e243801e1b970b,2024-07-03,2024-07-05,Sales Call 2
9f99324b3df6c6c,2024-05-29,2024-05-29,Sales Call 2
56b80336958eb7f,2024-04-27,2024-04-28,Sales Call 1
26222281a409bca,2024-05-31,2024-06-01,Sales Call 1
82cee7b1228400f,2024-04-27,2024-04-28,Sales Call 1
3e2f1cd88758918,2024-03-31,2024-04-02,Sales Call 1
97e6495cd4a40c8,2024-07-08,2024-07-08,Sales Call 1
329898d897e7725,2024-07-10,2024-07-12,Sales Call 1
31cfe05b2609394,2024-05-21,2024-05-21,Sales Call 1
a842824c7bd13d2,2024-05-16,2024-05-18,Sales Call 1
09615b3aee6c929,2024-06-02,2024-06-02,PV System Sold
c2e3fa82eeee6e4,2024-05-03,2024-05-04,Sales Call 1
946fba2867ca078,2024-05-15,2024-05-17,Sales Call 1
7f7d27124975b8b,2024-03-18,2024-03-22,Sales Call 1
868c6d1fe94c9b2,2024-04-09,2024-04-12,Sales Call 1
e773858eb29299d,2024-04-25,2024-04-27,Sales Call 1
c1bc8dc4a456c6d,2024-05-09,2024-05-10,Sales Call 1
cda4fb128718fdc,2024-09-16,2024-09-16,Sales Call 2
58b2440fd562fff,2024-05-13,2024-05-13,Sales Call 1
186ba920c666c88,2024-05-01,2024-05-03,Sales Call 1
24619ebe9ef4a46,2024-06-05,2024-06-07,Sales Call 1
9186ad2c3208d6e,2024-03-25,2024-03-25,Sales Call 1
0e50ea744d3c55b,2024-07-08,2024-07-08,Sales Call 1
62876aac4e57b7e,2024-03-07,2024-03-10,Sales Call 1
8111fda190627ab,2024-05-05,2024-05-05,Sales Call 1
a78e264d5313b05,2024-04-16,2024-04-16,Sales Call 2
e8cf513a9a33c4e,2024-05-16,2024-05-17,Sales Call 1
6de588b5a09bec9,2024-06-03,2024-06-03,Sales Call 1
a1c8f40a419f62a,2024-05-29,2024-05-31,Sales Call 1
bb8ff2b165ec879,2024-03-22,2024-03-25,Sales Call 1
305541791991fcb,2024-03-23,,Sales Call 1
3be659e361d9f67,2024-06-03,,Sales Call 1
67b0b3c217e42c5,2024-06-25,2024-06-25,Sales Call 1
c199b330be40762,2024-06-29,2024-06-29,Sales Call 1
f4c3ffa4688e964,2024-04-13,2024-04-13,Sales Call 1
e51a686f53cce8e,2024-04-20,2024-04-22,Sales Call 1
f4e03a7a0fc0500,2024-06-16,2024-06-16,Sales Call 1
f02a34b2545d1f6,2024-06-18,2024-06-18,Sales Call 1
13f9e119cbc668f,2024-05-08,,Sales Call 1
7aa73d2579d91de,2024-04-25,2024-04-26,Sales Call 1
7e22d18a709dac3,2024-04-13,2024-04-14,Sales Call 1
c73630124813fb5,2024-04-21,2024-04-22,Sales Call 1
360ffa75bd52341,2024-04-07,2024-04-07,PV System Sold
5de4e1855ce6671,2024-04-28,2024-04-28,Sales Call 2
a00b4e13d0905c0,2024-04-27,2024-04-28,Sales Call 1
332587d3cbbc79c,2024-07-06,,Sales Call 1
b48de44ab71d25d,2024-05-18,2024-05-19,Sales Call 1
661d6ee3796c041,2024-05-17,2024-05-17,Sales Call 2
5b04084e8d4913a,2024-03-04,2024-03-05,Sales Call 1
136abfb97374e27,2024-04-05,2024-04-05,PV System Sold
a0425db29815f4c,2024-05-05,2024-05-05,Sales Call 1
cf2b71631deb5c6,2024-06-17,2024-06-17,Sales Call 1
97a839749d30089,2024-05-20,,Sales Call 1
a891e9ac325efe1,2024-05-26,2024-05-27,Sales Call 1
1874f458d920092,2024-06-01,2024-06-01,Sales Call 1
0c590a5f77d77ea,2024-06-27,,Sales Call 1
ff7820c1a7c5606,2024-06-07,,Sales Call 1
a40e2e4551977b3,2024-05-31,2024-05-31,PV System Sold
e40116e708daa16,2024-05-11,2024-05-11,Sales Call 2
6b610ae2432b7d2,2024-07-16,2024-07-17,Sales Call 1
49434fa33fa7951,2024-04-29,2024-04-29,Sales Call 1
31e017d62b8c290,2024-05-09,2024-05-11,Sales Call 1
15c6d6bbe557b0d,2024-06-15,2024-06-15,Sales Call 1
430513c4446f85a,2024-05-18,2024-05-18,Sales Call 2
e21d8aa9d74e711,2024-06-01,2024-06-01,Sales Call 2
d958a4b156582ae,2024-06-23,2024-06-28,Sales Call 2
2918b12bb7063c5,2024-06-03,,Sales Call 1
2429029958b5239,2024-07-09,,Sales Call 1
06c0f7889b71300,2024-04-20,2024-04-22,Sales Call 1
c718ddc2aad981f,2024-05-30,2024-05-31,Sales Call 1
ad240a4527a79be,2024-06-24,,Sales Call 1
4ae1259a4aae284,2024-03-22,2024-03-25,Sales Call 1
137e41f388fc9c6,2024-06-21,2024-06-22,Sales Call 1
ebe75e0389f51c5,2024-07-14,2024-07-14,PV System Sold
75cb7a0932215f6,2024-02-21,2024-02-23,Sales Call 1
199b929ae8d2a49,2024-04-15,2024-04-15,Sales Call 1
85a4545c689f5bd,2024-07-18,2024-07-20,Sales Call 1
b3b8ce7c54988bd,2024-05-26,2024-05-27,PV System Sold
9ff4ae026a619c8,2024-05-02,2024-05-03,Sales Call 1
4e8f1fa05d3d6fd,2024-04-16,2024-04-16,Sales Call 1
2f75282039609b0,2024-04-24,2024-04-26,Sales Call 1
2971d742e78e6b7,2024-06-29,2024-06-29,Sales Call 1
804cf2a5595246a,2024-05-12,2024-05-12,Sales Call 1
538ab1e103be377,2024-04-23,2024-04-26,Sales Call 1
72828a37db996e3,2024-07-29,2024-07-29,PV System Sold
59c4a97e3ec4854,2024-04-26,,Sales Call 1
5a9f85543f696a1,2024-05-29,2024-05-31,Sales Call 1
fae13c101cf1c2e,2024-04-26,,Sales Call 1
ca535669b490c49,2024-05-10,2024-05-11,Sales Call 1
1223950c296813f,2024-07-19,2024-07-19,Sales Call 1
86dffa1f4a22611,2024-03-30,2024-04-01,Sales Call 1
79c253d3c5ab77b,2024-06-07,2024-06-08,Sales Call 1
cd6a2623f6c50ae,2024-03-31,2024-04-02,Sales Call 1
b13d0765adb59c4,2024-03-19,,Sales Call 1
8e572ff79ffea1b,2024-06-01,2024-06-01,Sales Call 1
d90781b4b242599,2024-06-28,2024-06-29,Sales Call 1
0c21b8c090e4760,2024-06-02,2024-06-02,Sales Call 1
9dcaf0944cb3de3,2024-04-10,2024-04-12,Sales Call 1
25af0ad3806a500,2024-05-05,,Sales Call 1
fbfd5f8197a0c9e,2024-06-04,2024-06-04,Sales Call 1
0d2b78cc187ca18,2024-03-18,2024-03-18,Sales Call 2
9eef0514ba85963,2024-07-05,,Sales Call 1
67e88025dc88d94,2024-03-06,2024-03-08,Sales Call 1
c0db178dedd9764,2024-05-20,2024-05-20,Sales Call 1
18c84363fcbfd23,2024-04-13,,Sales Call 1
5d2435549a7de64,2024-03-02,2024-03-04,Sales Call 1
e825ffa595eed33,2024-07-18,2024-07-19,Sales Call 1
3e43631e239d854,2024-07-12,2024-07-13,Sales Call 1
05b311d3af32439,2024-05-11,2024-05-12,Sales Call 1
03a107ac60aff57,2024-05-28,2024-05-28,Sales Call 2
f978468e4be2f22,2024-03-14,2024-03-16,Sales Call 1
14e37220867cb9c,2024-04-17,2024-04-19,Sales Call 1
48421662b639b99,2024-07-14,2024-07-14,Sales Call 1
94ce8d7e7191f38,2024-06-04,2024-06-04,Sales Call 2
7d3bd450af448da,2024-03-22,2024-03-26,Sales Call 1
41d79039f9e0683,2024-07-15,2024-07-15,Sales Call 1
e2dee50ec10dbcd,2024-04-26,2024-04-27,Sales Call 1
3e74c429164b2ce,2024-03-16,2024-03-18,Sales Call 1
6a4931f81016725,2024-03-17,,Sales Call 1
5f5acad41afdea5,2024-06-08,2024-06-08,Sales Call 2
b6439b60f6f0c60,2024-07-23,2024-07-23,PV System Sold
622b036cc460ee0,2024-06-28,2024-06-28,Sales Call 1
381cc8c16b62c0a,2024-03-21,2024-03-24,Sales Call 1
6f0bd6b5d0ff9c1,2024-05-03,2024-05-04,Sales Call 1
8521bd1ad88cfdc,2024-05-20,2024-05-20,Sales Call 1
ed82be8222f5d08,2024-05-26,2024-05-26,Sales Call 1
d9ef78a97ea411d,2024-03-15,2024-03-15,PV System Sold
2d12b1ac886516a,2024-03-01,,Sales Call 1
40abf48e692369f,2024-05-07,2024-05-07,Sales Call 2
