LEAD_ID,LEAD_CREATED_DATE,MARKETING_CHANNEL
f12200da666340e,2024-06-15,Channel B
50b1638aa394cb9,2024-02-04,Channel A
d7e377f008c37c9,2024-06-06,Channel A
2f31802c457db9e,2024-06-02,Channel B
6f60798bf9f0e90,2024-04-30,Channel B
a9dd2a81dcd34a0,2024-01-30,Channel B
7bbffaca3813641,2024-05-06,Channel A
4a3e6379b03fc76,2024-05-14,Channel C
3a4cb5705c034ac,2024-04-05,Channel C
bccb5c67fd63daf,2024-04-12,Channel C
94e758fe9a4e036,2024-06-18,Channel B
f19e0a06f776d53,2024-04-07,Channel B
5756ec3141ab649,2024-06-17,Channel C
768eecd652e4de4,2024-03-01,Channel B
eb78590f9dad571,2024-03-24,Channel B
03c9cc06be03360,2024-05-19,Channel C
f07ac0ae7164ec0,2024-02-22,Channel C
8db5b524e42692b,2024-02-19,Channel C
5c72546e240fb34,2024-02-08,Channel A
3b4f1366c2a7b88,2024-03-14,Channel A
0e8855c2a630354,2024-01-24,Channel B
e6d97ea90126668,2024-06-01,Channel C
1ca3b3072cb5b21,2024-03-16,Channel B
e7928ca4f2200db,2024-05-09,Channel B
3fd243196fd9c26,2024-04-01,Channel A
4f546ca7df46b73,2024-03-02,Channel B
acac97d01007e16,2024-06-02,Channel A
54479f85539f90a,2024-03-28,Channel B
a15fdcec94b42b0,2024-04-30,Channel A
82d3662e6a24f59,2024-03-08,Channel C
179dc163dbe8dfa,2024-02-24,Channel A
f58fe509be6cc1f,2024-02-13,Channel B
897868a3ab8e964,2024-05-23,Channel C
31f16aac281fc75,2024-02-18,Channel C
27636376c2ad573,2024-06-14,Channel B
40030939635e11c,2024-01-21,Channel B
7eed64cecf56d79,2024-05-15,Channel B
46e02ffd3106428,2024-06-13,Channel C
081d2a65103d6b7,2024-06-17,Channel A
6da4860a5e418f7,2024-04-14,Channel C
4a5ecfaf66fb490,2024-05-08,Channel A
e643e481518ba69,2024-05-16,Channel B
f30f58b7343e6cc,2024-05-30,Channel C
aec1166830a0835,2024-02-02,Channel A
b6d542f8785845f,2024-02-05,Channel C
eb043a59501ff97,2024-02-23,Channel A
5fe19854713d8a8,2024-06-13,Channel C
fcc0ed632221522,2024-06-02,Channel C
91df9b3203b0e13,2024-01-19,Channel B
eab0d5450f7acae,2024-06-25,Channel B
a298ac05fab3cf2,2024-03-28,Channel B
2cf1bb6025ba1ab,2024-04-02,Channel C
861420cae0109d6,2024-02-26,Channel B
2218ac4ee755913,2024-02-14,Channel C
6d3d4c94a48a98c,2024-06-20,Channel A
d63e452b2ccbf92,2024-02-05,Channel B
f3169e77b1d1a83,2024-05-03,Channel C
da69a87eb61f198,2024-05-23,Channel C
a7a5601b08693cb,2024-01-27,Channel C
a90edd36484674c,2024-04-19,Channel A
8dab8fc1ed36d14,2024-05-09,Channel B
811d1c2af4c9d2f,2024-03-08,Channel B
b56fad82bbf91b7,2024-06-21,Channel B
878971acba4cc31,2024-02-25,Channel C
849955355d79c6f,2024-04-03,Channel C
195fe009b19e06f,2024-02-01,Channel B
3b621c90c27ec0b,2024-03-07,Channel A
da8d66a67e9231d,2024-04-01,Channel A
1ff6582a9a22af0,2024-04-23,Channel C
b16fd47bbcf4853,2024-02-08,Channel C
886af7a19e49c3b,2024-05-22,Channel C
730eabcbbfc3aed,2024-06-15,Channel A
26a20f52e6b3c7d,2024-03-26,Channel B
abae3479338665f,2024-03-10,Channel C
887016b412b2dd7,2024-06-29,Channel A
4190a03ec8e399a,2024-05-04,Channel C
872f44b3b6f0717,2024-02-04,Channel A
fefe3fda16314e7,2024-03-22,Channel C
8b5c7d1aecf8159,2024-01-28,Channel C
283f5cf6c698a48,2024-05-17,Channel B
2afd7a50a536aa5,2024-02-24,Channel B
462b1f5262c2cfd,2024-03-06,Channel A
44f232c13f9c598,2024-01-25,Channel B
ef3a5482b974b31,2024-01-27,Channel C
cde3eb14314a236,2024-04-15,Channel B
2f2201728426e7f,2024-02-12,Channel C
6c9e266fc89780b,2024-02-11,Channel B
3e021da78b97b4a,2024-02-22,Channel A
4f0d81c46767da4,2024-04-20,Channel C
3c44a16a11e1585,2024-04-25,Channel C
719a06ef13c1554,2024-03-26,Channel C
0f53661abf071df,2024-02-20,Channel C
4bbd4f6f9aeae26,2024-04-08,Channel C
ae981665164fc5c,2024-01-31,Channel B
6a8c11c961e432c,2024-04-21,Channel B
f83c0eba13477ba,2024-02-10,Channel C
16a987f91b36b2c,2024-03-18,Channel A
f30289cf03d1996,2024-06-30,Channel C
b85dcefba714ad4,2024-06-16,Channel A
483412ae2f7350f,2024-03-17,Channel A
fb89a14c4ab41d9,2024-03-02,Channel A
9915482e3f9db08,2024-05-31,Channel B
1d2fe183a662349,2024-05-25,Channel B
21e4ea2eb47eb56,2024-04-07,Channel A
4686f73d4b7afa6,2024-05-20,Channel A
37aed763a34a73c,2024-03-28,Channel A
1758edc20b34017,2024-05-28,Channel A
7ade40b1a52d73b,2024-04-17,Channel C
585f9fc58a10203,2024-03-06,Channel B
221527756b8e931,2024-04-10,Channel C
0e4a78b2dbc7040,2024-01-29,Channel B
17f46096a424108,2024-06-04,Channel B
9f1cf30dabaa244,2024-06-18,Channel C
9e1381bfd582b2c,2024-07-03,Channel A
7187377b74d82a4,2024-05-11,Channel B
bb12fd3e8f42224,2024-05-05,Channel A
02ca2ddbb718d97,2024-05-19,Channel A
1d835523f1adc76,2024-06-02,Channel C
c05486e1e212200,2024-04-07,Channel C
b15e7a5e502e320,2024-06-11,Channel B
bbcec848e4fd7eb,2024-05-14,Channel B
758dc9dd74aac1d,2024-04-21,Channel B
5e64cc414d57d98,2024-06-08,Channel C
475a9e90a1c8fa1,2024-03-14,Channel B
18e70c1b58a8e62,2024-04-19,Channel B
deebdcdc80ab169,2024-03-07,Channel C
d32fae4b4abe2a7,2024-01-28,Channel C
8670949318c97db,2024-03-17,Channel C
f9452850d9593f2,2024-05-19,Channel B
c5b4845fcb2ab47,2024-05-24,Channel C
98a7cb9e86ddc10,2024-05-10,Channel C
2920a9aca8b4070,2024-04-28,Channel C
fb323ab483675ac,2024-03-13,Channel C
91a644f8b122df3,2024-03-18,Channel C
5f085262761d297,2024-06-10,Channel A
e86abc23525eb4e,2024-03-29,Channel C
cd8ae6ef3af6e49,2024-02-16,Channel B
81bc2d36a1d4e5a,2024-05-28,Channel B
b37a2382ab2168a,2024-03-17,Channel C
8af47fdee32d910,2024-05-21,Channel C
26abd1f42448632,2024-03-03,Channel A
77c4f11aa486d65,2024-04-14,Channel C
5f31706a5a9fb3f,2024-02-10,Channel A
b641165591ea921,2024-06-07,Channel B
9875c1a4673992a,2024-03-06,Channel A
4524c362f5b5521,2024-02-14,Channel C
10963af0c714ee8,2024-04-02,Channel C
8290c4d95e904f0,2024-04-01,Channel C
6eaec483e8653f4,2024-03-14,Channel B
5f458529d94d663,2024-03-07,Channel A
6bb0ed94d212e2e,2024-06-01,Channel B
391c80da81fac12,2024-04-24,Channel B
39edfc9c8d2f30d,2024-05-09,Channel C
0ccb00587eca0a4,2024-05-16,Channel C
6f6fdd3a2d52a90,2024-02-17,Channel A
d2bf29d847ccb18,2024-06-11,Channel C
97f74a6388709e4,2024-04-30,Channel A
d8e162c8c577515,2024-05-30,Channel C
e070710bcc33c41,2024-03-02,Channel A
3ab0784f1a40a78,2024-02-15,Channel B
9075f3fbdc0dd30,2024-05-13,Channel A
33cfca8db93430e,2024-05-31,Channel B
f62826e0b24e519,2024-05-12,Channel C
9a6053e33c90486,2024-03-27,Channel C
0f9b4a7e18ccc42,2024-03-06,Channel C
ca0a3c9fba2ffbf,2024-04-15,Channel C
e3cb7fb00138e16,2024-03-04,Channel A
91e572e164ca6da,2024-03-25,Channel C
c8dced04b28d6ef,2024-04-22,Channel B
a28965e74be3bc9,2024-04-26,Channel A
dc0b88045f923f1,2024-03-26,Channel C
70e95d3c736a242,2024-05-21,Channel B
6d984bd4deea5df,2024-02-29,Channel C
35108c4041f1e40,2024-03-30,Channel A
f17894eb8ae434d,2024-06-29,Channel C
867f7ccc405b62c,2024-05-29,Channel C
c5f139f445038b5,2024-05-21,Channel C
13fb5f483668fd8,2024-04-05,Channel B
f17a0704d31eef0,2024-03-14,Channel B
c90c7b257ba9398,2024-01-30,Channel A
c749cd576173a90,2024-02-24,Channel B
a00328f3f62fb29,2024-06-20,Channel C
3a2ff55cff0a88c,2024-02-10,Channel C
4c550ce265ec480,2024-05-28,Channel A
cc0e614d401fc62,2024-06-07,Channel C
3ab1de02beb1cfe,2024-02-15,Channel A
bbeedbf18f56dff,2024-02-13,Channel A
26f3155f55ca05b,2024-03-12,Channel C
4206167f54d614f,2024-05-19,Channel A
6bcfedbcb994aa1,2024-03-25,Channel B
4518b3a3a730a41,2024-05-27,Channel B
271916aba75309d,2024-03-25,Channel C
0c32acc65aaf2ab,2024-04-03,Channel A
bb10867f0409675,2024-04-27,Channel C
31d2b85aab3308f,2024-02-03,Channel C
ec14d419bd20995,2024-04-06,Channel B
276dcaccdc225d5,2024-04-14,Channel B
091a4fa16b6d53f,2024-04-25,Channel C
d875d0f692dda36,2024-04-17,Channel C
b427182eb5edefb,2024-05-07,Channel C
26b01ca0c1c30c9,2024-05-04,Channel C
bde70c5d1392d4f,2024-05-15,Channel B
2b7073dbd21a540,2024-07-01,Channel B
6ce6cfdcd5f269e,2024-06-14,Channel C
2255732403c0d1e,2024-06-06,Channel C
88f2f375cb419a4,2024-04-02,Channel A
6dcd5da27d5c781,2024-05-14,Channel A
87271ddb3e22d0e,2024-03-08,Channel A
2699d0ef550300b,2024-02-07,Channel A
55c12af87cbc51b,2024-05-26,Channel C
767c818598aad68,2024-03-31,Channel A
154e42d5d003d5f,2024-01-27,Channel C
f507a2716e617da,2024-03-09,Channel B
161d87d06ac5f50,2024-06-24,Channel A
2461d1599ad4c99,2024-02-23,Channel C
87c3fdfc084cfae,2024-03-24,Channel B
360ffa75bd52341,2024-02-26,Channel A
601c2214efdc3d7,2024-03-20,Channel B
7bfff5fe0cb0066,2024-01-26,Channel A
e27e73ced5668e9,2024-05-31,Channel A
c144c0edfe20832,2024-03-25,Channel A
6fcb6f7f79d6cf3,2024-06-17,Channel C
e52b9ccabececb5,2024-04-13,Channel C
4c6dd9a43d44331,2024-03-19,Channel B
87924cac4b430d3,2024-01-24,Channel A
6bdaa1687de7dee,2024-06-09,Channel B
ff634c52ab058c2,2024-03-26,Channel C
02ba22b46748b4d,2024-04-06,Channel B
d8954f7fdfc46d1,2024-04-28,Channel A
4307ab4ff6afb79,2024-03-05,Channel B
9c777b1d8e858af,2024-03-18,Channel A
decb02733216a10,2024-04-09,Channel A
f6e08e10db633ef,2024-05-18,Channel A
08655bf1a3eda75,2024-01-25,Channel B
55071439386a4aa,2024-02-23,Channel C
6f699734258c267,2024-05-08,Channel C
f1156c13bb11c73,2024-03-02,Channel C
0d91c7c82ac9b04,2024-05-24,Channel C
0861ffd5835cd8f,2024-02-17,Channel C
a37df16b93a78b5,2024-04-10,Channel C
07f5a982833ac06,2024-05-26,Channel A
4aee3fdfad6a59d,2024-04-30,Channel A
ee8ef8e8569f38b,2024-04-04,Channel B
05013c40a5b7335,2024-05-19,Channel A
73a2cc82fdf06f2,2024-03-23,Channel B
a1860350fa8b080,2024-04-01,Channel C
217149a4f5289bf,2024-02-21,Channel A
971cf11f87f1752,2024-01-27,Channel C
76507a88b0d0b17,2024-02-21,Channel C
93f2b19708bf8f8,2024-05-08,Channel C
ed76bf76fa5cbe2,2024-06-17,Channel C
60d80d40e80672a,2024-06-14,Channel B
7a6934d38fab9b5,2024-02-25,Channel C
76aa053e58a7e1e,2024-06-23,Channel C
3050d8874874bec,2024-04-14,Channel C
3597488e04d77d2,2024-06-03,Channel C
a5992511732bc57,2024-06-12,Channel A
ec7c6a0c13ec7ca,2024-05-11,Channel C
1a1620b33d2ed60,2024-03-28,Channel A
afcfd2b4a5e43f8,2024-01-31,Channel C
557de5397af41fd,2024-03-30,Channel C
4e3d6e327967e1b,2024-02-26,Channel B
01b2d09707b444d,2024-03-21,Channel B
1eaec1774af10eb,2024-04-28,Channel B
657ed0bb72c7522,2024-04-05,Channel A
2b33f58e3d09069,2024-06-05,Channel C
fc0e55128ed4910,2024-04-17,Channel B
ccd275a807d9165,2024-04-21,Channel B
1d9b500fc7cde93,2024-02-24,Channel B
1d0b15abace62d1,2024-05-01,Channel B
6c29c810d6c42c5,2024-05-13,Channel B
3b52f48157dacfc,2024-03-04,Channel C
136a103235036e0,2024-02-12,Channel C
0fe2013f0b22869,2024-03-11,Channel A
994bc61e8f8f02b,2024-05-14,Channel A
692d2d410c5b17f,2024-06-12,Channel C
89cc9aefd280e34,2024-02-21,Channel C
42a88a04ae248db,2024-02-09,Channel C
82e6f10e0c4d821,2024-06-20,Channel C
e645f30f529d60f,2024-03-20,Channel C
1362a5e9212f2ec,2024-03-26,Channel B
3b342f77f8ce80e,2024-06-11,Channel A
4dc501c7a5657b9,2024-03-11,Channel A
39cc7dfce303418,2024-06-23,Channel A
e171a67d23af91e,2024-04-21,Channel C
de894a41e7e8b0e,2024-04-12,Channel A
cb6e48a13e45e72,2024-06-11,Channel C
d610c6e5e276cda,2024-03-16,Channel C
9f9a96aef42480a,2024-04-24,Channel B
922082fe04d5606,2024-04-17,Channel A
77a19bd80ca8ed8,2024-04-25,Channel A
19c47219cb80005,2024-04-07,Channel C
c3a4f2c88b2f2d3,2024-02-18,Channel B
5b8a14abac9bcc5,2024-04-09,Channel B
264267a3b93c1b6,2024-05-05,Channel C
57d7f1eeb083a70,2024-04-25,Channel B
837aaa91742dc40,2024-06-15,Channel C
c1a1c4e43bd8877,2024-03-31,Channel A
e18390495df3ea2,2024-03-28,Channel A
5db498a28f0ca78,2024-02-23,Channel A
ad6f1e0ea6f8c09,2024-03-14,Channel C
d103a5bc34ad46e,2024-02-08,Channel B
0d465dcb1a158e8,2024-05-10,Channel A
acfe32bb244aabe,2024-06-06,Channel C
2cc0eb57f4a068a,2024-05-30,Channel B
d4438f81f707679,2024-05-18,Channel C
810505d9278f8f7,2024-03-24,Channel C
d87e8d49cf4e77c,2024-06-15,Channel C
07fd1a500db8d74,2024-04-05,Channel C
89377ad2a9b614c,2024-05-28,Channel C
99ad4f891e104de,2024-02-09,Channel A
56b3e4ba7d427f5,2024-03-30,Channel B
4da33193da966a2,2024-06-20,Channel C
8b14151e8032b3e,2024-04-10,Channel B
cdcfaa3517e4b06,2024-02-16,Channel C
7c7be1c884bfd63,2024-02-29,Channel B
7bae844438f3693,2024-02-10,Channel A
ff2db692daf0f48,2024-03-03,Channel A
9e897dd4e68d63c,2024-06-20,Channel C
14c510f9263fd66,2024-05-27,Channel A
80bb1d09ae4beb1,2024-03-09,Channel B
9f9fef561156534,2024-04-07,Channel C
21aad695e6baeed,2024-05-17,Channel A
c412ecc2a700c88,2024-02-28,Channel A
b39a8e7126f6be4,2024-06-24,Channel C
e1739852cfec84e,2024-06-06,Channel A
8c93d4dd9d36235,2024-06-23,Channel B
57ef4f56d97c268,2024-03-08,Channel A
5b0af6b9fcad8e4,2024-03-02,Channel A
df3e847f3cd0000,2024-03-28,Channel B
5238fe0547feecc,2024-07-09,Channel C
189a2ea861ed9c6,2024-04-26,Channel B
53db080615768a8,2024-02-27,Channel A
597f2eb0d28b991,2024-02-21,Channel A
bb49127bc76cd5d,2024-04-27,Channel B
037664503c05f51,2024-05-24,Channel C
e03eed71886ac26,2024-04-04,Channel C
5117a2875831811,2024-06-06,Channel C
74ef1722d1539c1,2024-02-27,Channel A
c3dd991b7d32f19,2024-04-24,Channel A
2a1f92f76519502,2024-05-16,Channel B
f944e873fa80daf,2024-06-16,Channel C
818d596ab227cb4,2024-05-27,Channel B
f3695603e43a150,2024-03-21,Channel A
a2b75ebf172b6b5,2024-03-18,Channel B
bbc69ba73af47d3,2024-04-06,Channel B
209733b8c1cbf59,2024-04-15,Channel A
a97b0f9f05cdd84,2024-05-15,Channel C
6df720ee8ac99db,2024-05-02,Channel B
2cd695d964dc898,2024-04-07,Channel C
b3ee3db93a079ac,2024-05-06,Channel A
02ecd8998d58d2a,2024-06-17,Channel A
0bed07f74a4fe3a,2024-03-26,Channel B
5975e93ef69068b,2024-03-14,Channel C
1a72467e80f4596,2024-04-10,Channel C
bf86ed022a365e5,2024-05-06,Channel A
af39fa730053214,2024-06-27,Channel A
0d19e1c3a4e356b,2024-02-03,Channel C
06ed64270251fc4,2024-05-14,Channel C
883319cd0f03945,2024-06-15,Channel A
7c72511bf4a9c6d,2024-05-31,Channel A
a2b78f2bc33ba3a,2024-03-18,Channel A
68524256c99e3db,2024-02-22,Channel C
0b4dd55d3369ed8,2024-03-21,Channel C
db5ce2749c2f656,2024-04-18,Channel B
ed6be93514689cc,2024-05-14,Channel A
35ee86c65206468,2024-03-13,Channel A
73de56f62004137,2024-05-26,Channel B
a96f17987c73e9f,2024-03-15,Channel A
f6b4366b8086903,2024-06-10,Channel C
ed8d1e787c4147c,2024-05-10,Channel A
4068542ba782248,2024-05-10,Channel A
be5729448e7b47d,2024-06-12,Channel C
4000a35951d4686,2024-06-13,Channel A
045dd412e37aa14,2024-06-03,Channel B
e4539d0218f8785,2024-06-24,Channel C
df935e9e852927d,2024-04-05,Channel B
2d8c0cb9fef13f5,2024-03-25,Channel A
6dd22c9381047ac,2024-05-03,Channel A
5e78e67caa5ad6a,2024-06-10,Channel A
07f44e49f877f1c,2024-02-17,Channel C
0ea467138c7e583,2024-02-14,Channel B
817ec5bb5deed2f,2024-04-14,Channel B
0d4a3bb048cecbd,2024-06-07,Channel C
9c43d9fe6fc0a38,2024-02-10,Channel A
